giakit688,cái này 15 mà nhiều người nói 30 thế
ctrnq57,hình 1 đặt rùa bằng x đá bằng y từ đó ta có  x300  y xy  330 giải phương trình x 15 y 315
tranluongquocbao,33030030 ai cãi lên phường 
phananh23122,ảnh đầu 15 ảnh sau 30
em.n1758,ai bảo 15 thì nên học lại lớp 1 nha nhìn là bt 30 r mà cứ bảo 15
kocojdau_,15 toán cấp 1 
sskngss,2 hình là 2 bài toán
trngtntrn588,hiệu 300 tổng 330 cột đá3303002 rùa3303002 toán lớp 45 gì đấy
huytua2852012,60 đúng ko
tunghanoi2,nhìn thế k biết là 30 thì nên đi học lại
theanhpt11,rùa đầu tiên 15 rùa 2 30
ngvietanh08,15 dễ mà nhỉ
thuw_la_nhat,hình 1 thì 15 hình 2 thì 30
nhatanhhoang8,gọi chiều cao rùa là x chiều cao đá là y yx300 1 yx330 2 1y300x 2 300x x330x15 1 y15300 y315 kết luận rùa 15 đá 315
0x6250...cb8b,15 và 30
trivudz,15 trẻ con cx làm đc nx nể các anh 2k17 đoán ra 30
huy610612,hình 2 thấy ai cũng 15 vậy nếu bỏ con rùa trên đá ra thì còn lại 315 có bằng bên kia là 300 nữa đâu
snminh031,gọi chiều cao con rùa là x khi đó chiều cao cả tảng đá là300x vì khi dặt con rùa lên thì thì chiều cao của cả hai là 330nên ta có ptxx300330 kq15 ykr
cocailolon1234,hình 1 30 hình 2 15
nguyn.nht3298,330x300x
dung8710,xcon rùa ytảng đá y 300x yx 330x y330xx330 xy30033030030 nể mấy ông bằng 15 thật
hogntoan,xy 300 xy330  300yy330 2y30  y15rùa  x315 đá
lehoangphuc2207,con rùa đâu ảnh hưởng tới kích thước cục đá bđầu đâu phải ra 30 chứ
user264501892,tổng hiệu  xy 330 xy  300  y15
thongkimideptraihehe,đây là bài toán đánh lừa người xem nhưng nhìn kỹ là thấynếu giải theo bài toàn tổng hiệu học từ lớp 3 sgk chương trình cũ thì ra chiều cao rùa là 15đá 315 nhé mấy anh thần đồng toán học 2k17
notnamvt9,hai hình khác nhau mà có gì khó hiểu ở đây à
abcdaa24,x rùa y đá yx300 yx330 suy ra x15
huy.dinh1801,h1 15h2 30
ebexyunichan2005,30
user6600985471858,hình 1 rùa 15 đá 315 hình 2 rùa 30 đá 330 đúng ko nhỉ
4644nh,gọi rùa là x y là đá bấm hptyx300 và xy330 là ra
binpeach96,đặt x y chi vậy nhìn hình 2 là bít cục đá là 330 rồi nên theo hình 1 thì con rùa 30
lucduy1103,2x330300 x15
tinlm213,h1 300  x y330 x y h2 300  x  y 330 x x  y x là rùa y là đá mời giải 
0trung_nguyen0,hình 1 thì con rùa là x tảng đá là y thì ta có yx300 yx330 vậy con rùa hình 1 15
thxnh1003,15 mâ
hmasdeptraivcl,30 thôi chứ j đâu
juun.d_09,3303002
kuroko169,là z nek hg bt đúng ko nha 33030030 là chiều cao của 2 con rùa mà 30÷2 15 tức là chiều cao 1 con rùa khoảng cách viên đá 30015 315 lập luận ngc lại h1 là hòn đá trừ đi 1 khoảng là độ cao con rùa tức là 31515300 đúng nek hình 2 là hòn đá cộng thêm 1 con rùa 31515300 giống nek
ttlcnnily,15  nếu con rùa 30 thì hình bên trái cục đá  330 rồi
hlinh2157,60 bởi vì là hình đầu tiên bắt đầu tính từ đầu rùa ko phải mặt đất
thanh7086,hình 1 khoản cách từ đầu rùa tới đỉnh của đá là 300 hình 2 là tổng cả chiều cao của rùa và đá là 330 vậy nên đá sẽ là 315 còn rùa sẽ là 15 vì 315 trừ 15  do tính từ đầu rùa sẽ bằng 300 tính từ
hatam.0412,30
leon.ofc12,115cm 230cm
_hanp_953,bức 1 con rủa 15 bức 2 còn rùa 30
layloi_hg90,ảnh 1 15 đá 315 ảnh 2 30 cục đá 330 ko thể sai được
_vta_163,60
papakugau,quan sát kỹ hình chiều cao khối đá đặt là x trừ đi chiều cao của con rùa đặt là y mới bằng 300 chứ k phải chiều cao khối đá bằng 300 vậy ta có xy300 và xy330 nếu là tiểu học thì đây là bài toán tổng hiệu nếu là cấp 2 hay 3 thì đây là vài toán hệ 2 phương trình cứ áp dụng mà giải thì ra khối đá cao 315 còn con rùa cao 15
anhtaxi68kg,con rùa dưới đất tao không quan tâm  con rùa trên đỉnh tảng đá cao 30cm  chắc cú luôn không thể sai được 
giaothuy110712,s t tính ra 60 ta
anhdauvecad,cái đầu 15 cái sau là 30
hayzzta,hình 2 nó còn dễ hơn hình 1 mà nhiều ng mắc sai lầm về thị giác ghê  h2 nó cho sẵn chiều cao cục đá lun r còn gì
rgm.79s.gm.sparta,cái biểu thức ở dưới tôi thấy nó là yxx330 nó ổn hơn đấy
